system:index,B2,B3,B4,B8,NDMI,NDVI,NDWI,aspect,elevation,label,slope,.geo
2_113_0,336.0,498.5,525.0,2109.3333333333335,0.059079498,0.6014172,-0.61769027,158.62921,1466,0,24.320963,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.12485039657213,27.79661475227456]}"
2_114_0,389.0,541.0,473.0,1769.0,0.10390016,0.5780553,-0.5316017,-0.0,2953,0,31.59714,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.5157926339391,28.365787316292693]}"
2_115_0,472.5,672.9090909090909,927.625,2267.4444444444443,-0.0740768,0.4193397,-0.5422937,198.71468,1980,0,40.51625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.86586610016047,27.67884561852649]}"
2_116_0,143.4090909090909,300.0,173.76190476190476,2094.5555555555557,0.2973847,0.8467923,-0.7494316,202.94562,1885,0,8.004978,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.15799823055615,27.652165654588142]}"
2_117_0,2669.0,3107.458333333333,3374.6,3472.8333333333335,-0.02576211,0.014346008,-0.055525653,248.82137,5476,0,49.357857,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.49917837546474,28.45364255107958]}"
2_118_0,250.6,407.5,396.5,1824.5,0.08455937,0.64295363,-0.63485664,206.95935,914,0,35.996754,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.6774893850806,27.78233153925706]}"
2_119_0,714.0,935.2857142857143,1111.1666666666667,2469.6666666666665,-0.044111006,0.37938097,-0.45063213,188.58609,1069,0,26.157385,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.64002963773282,27.984452478183954]}"
2_120_0,335.0,581.5714285714286,562.8571428571429,2284.25,0.0634311,0.6046112,-0.59413284,85.783936,515,0,12.417708,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.90224786916731,27.79661475227456]}"
2_121_0,373.5,468.0,603.0,1193.0,-0.09706717,0.32850778,-0.43648404,232.07216,3726,0,31.204239,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.1652745843575,28.248557171715092]}"
2_122_0,413.2962962962963,670.3136363636363,801.5238095238095,2162.5,-0.0076102335,0.45916507,-0.5267506,189.62769,815,0,18.179174,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.85805075718864,27.840003380497535]}"
2_123_0,368.28,568.5,661.9230769230769,1871.5,2.6723678E-4,0.47744766,-0.5340164,114.70358,568,0,26.72704,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.00842873575024,27.789877387643667]}"
2_124_0,137.0,241.0,215.0,1523.0,0.08014184,0.75258917,-0.72675735,348.57108,2715,0,36.61922,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.86371014347858,28.431274500505005]}"
2_125_0,357.0,635.0,387.0,4144.0,0.30069053,0.8291768,-0.734254,15.42201,1532,0,31.853476,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.62817187598245,28.14399327264358]}"
2_126_0,194.5,294.0,311.0,1641.5,0.20987654,0.68143404,-0.6962025,143.92137,3190,0,68.38418,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.12943180452113,28.08281800179504]}"
2_127_0,423.29166666666663,658.25,770.5,2233.5,-0.0029017858,0.4870173,-0.54473937,353.555,1387,0,9.25262,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.12134696696407,27.719000311726635]}"
2_128_0,625.5555555555555,913.3636363636364,1067.4,2593.3,-0.052943915,0.41683283,-0.4790697,105.441025,697,0,16.90926,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.80118739970386,27.88446998706145]}"
2_129_0,349.6666666666667,544.8648648648649,542.4615384615385,1935.0,0.0037999144,0.56208277,-0.5605689,122.28622,405,0,16.859812,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.92892783310566,27.801196160223572]}"
2_130_0,405.0625,654.6521739130435,593.3333333333334,2654.0,0.10634553,0.63457197,-0.6042786,48.53677,2166,0,29.348906,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.49756140795331,27.92246872357971]}"
2_131_0,289.5,465.5,584.0,1946.5,0.012088912,0.53843117,-0.61401325,169.77551,3001,0,35.895336,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.17335942191458,28.11219291158575]}"
2_132_0,875.5,1178.5,1070.5,2984.0,0.15554409,0.47194475,-0.43375376,300.50446,350,0,45.581154,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.5473235004117,27.904951575539375]}"
2_133_0,482.5,784.5,1264.0,2097.0,-0.22304557,0.24784291,-0.45549193,230.62997,4354,0,19.66053,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.0749938983035,28.46091890488095]}"
2_134_0,306.07142857142856,494.44444444444446,367.6875,2571.8,0.26695895,0.7498288,-0.67749184,125.24093,566,0,6.402783,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.71494913242839,27.979332081064474]}"
2_135_0,525.1,749.25,845.7777777777778,2328.0,-0.026145158,0.46702144,-0.51303923,297.91556,531,0,11.720339,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.8262503961308,27.989572875303434]}"
2_136_0,218.0,327.0,247.0,2377.0,0.23288381,0.8117378,-0.7581361,97.91363,2650,0,19.429058,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.5489404679231,28.314313850512644]}"
2_137_0,706.6666666666666,1009.5,1099.0,2442.5,-0.07250504,0.37935904,-0.41512167,235.44513,1517,0,11.297823,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.48381718410629,27.691781358617813]}"
2_138_0,538.0,849.0,969.0,2294.0,-0.027966103,0.40606803,-0.4597518,75.17477,1024,0,29.656628,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.77935833829976,28.082009518039335]}"
2_139_0,254.5,393.5,392.0,2377.0,0.15081094,0.7168653,-0.71593577,270.0,2599,0,17.317217,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.12350292364594,28.041585330253955]}"
2_140_0,2622.0,2844.0,2962.0,2890.0,0.08341143,-0.012303486,-0.008022323,169.00253,4993,0,29.992311,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.47088144401496,28.099526666079665]}"
2_141_0,559.0,719.5,979.75,2483.6,-0.02452819,0.43421832,-0.5507477,118.25669,565,0,25.580578,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.50501285052967,27.995232261593387]}"
